r <= (Rank),Trace Stat,Trace CV (95%),Max Eigen Stat,Max Eigen CV (95%),Trace Reject,Max Eigen Reject
0,14.184384832233851,15.4943,11.85303556411769,14.2639,False,False
1,2.331349268116163,3.8415,2.331349268116163,3.8415,False,False
